Agent 0,-0.3807087914053575,-1.0487270085162883
Agent 1,-0.7528030561697089,-0.6196748726648926
Agent 2,-0.6640115376104528,-0.604811949349119
Agent 3,-0.8077972348898456,-0.5501422900579476
Agent 4,-1.0152426175306604,-0.19376414459087354
Agent 5,-1.0351608656928397,0.17112282587084493
Agent 6,-1.0301040102718637,0.49447976344076044
Agent 7,-1.0209790883528955,0.8057606192915271
Agent 8,-0.9977615976422399,1.108973886790962
Agent 9,-1.001984389441558,1.411008421831053
Agent 0,1.2240120253198815e-12,0.10999999996131511
Agent 1,1.223954466254742e-12,0.2799999999613151
Agent 2,1.2241420173487143e-12,0.4799999999613151
Agent 3,1.2238346288803974e-12,0.6599999999613151
Agent 4,1.2238346288803974e-12,0.869999999961315
Agent 5,1.2238346288803974e-12,1.0399999999613152
Agent 6,1.2238346288803974e-12,1.2099999999613151
Agent 7,1.2238346288803974e-12,1.3699999999613153
Agent 8,1.2238346288803974e-12,1.5299999999613152
Agent 9,1.224091730061427e-12,1.6999999999613151
Agent 0,1.8753962979219643e-08,0.11803794103667059
Agent 1,8.383084123351149e-06,0.28358183474638154
Agent 2,3.232106227261468e-06,0.481966523270546
Agent 3,1.8795439959338432e-06,0.6614581546385576
Agent 4,1.15384820203092e-06,0.8711427041775067
Agent 5,8.031993380636838e-07,1.0409788564600388
Agent 6,5.799703570786124e-07,1.2108583593249393
Agent 7,4.385962571861181e-07,1.370770154096246
Agent 8,3.3908900217827527e-07,1.5306987983038072
Agent 9,2.6339301556733077e-07,1.7006363783526501
Agent 0,1.9549245350495034e-08,0.13411471254886664
Agent 1,8.735947677832368e-05,0.29071335503591333
Agent 2,3.37285498215982e-05,0.48589023888445565
Agent 3,1.9437648347918685e-05,0.6643707519043168
Agent 4,1.2292899283822244e-05,0.8734263681038602
Agent 5,8.525276357547471e-06,1.0429355043309778
Agent 6,6.135091486068345e-06,1.212574385783143
Agent 7,4.625390280681298e-06,1.3723099822173157
Agent 8,3.565086942290902e-06,1.532096052313773
Agent 9,2.7601082103679854e-06,1.7019088898566679
Agent 0,3.0960584365918605e-08,0.15019134560162956
Agent 1,0.000269821584512399,0.29766983665914254
Agent 2,0.00010325020312552328,0.4897873896293396
Agent 3,5.8956135838391455e-05,0.6672730277634994
Agent 4,3.535659208959376e-05,0.8757052305436585
Agent 5,2.4426582310297176e-05,1.0448891935612796
Agent 6,1.7413045005470722e-05,1.2142884512989778
Agent 7,1.310048162778061e-05,1.3738484133051325
Agent 8,1.007914317602051e-05,1.5334922754418256
Agent 9,7.790196511425869e-06,1.7031806317333402
Agent 0,5.087614112558712e-08,0.16626807855082149
Agent 1,0.0005651217539070285,0.3044045334670015
Agent 2,0.00021558200958861413,0.4936495050365268
Agent 3,0.00012224627332789489,0.6701617011498334
Agent 4,7.19132592396647e-05,0.8779778075916628
Agent 5,4.948281056498622e-05,1.0468390272439698
Agent 6,3.530261603146454e-05,1.2159999669853845
Agent 7,2.6492001975013858e-05,1.3753850316387233
Agent 8,2.0337699777282644e-05,1.5348871627887422
Agent 9,1.568711588427098e-05,1.704451377297129
Agent 0,1.2179258945524794e-05,0.182185447289628
Agent 1,0.0009944613225096775,0.3109288133221878
Agent 2,0.00037404361545123344,0.49747584608901985
Agent 3,0.0002099969561953313,0.6730363474909771
Agent 4,0.00012279009939370345,0.8802438908799477
Agent 5,8.42184886452619e-05,1.048784890174206
Agent 6,6.0037789457576915e-05,1.2177088666296654
Agent 7,4.496427558992543e-05,1.3769197959052073
Agent 8,3.448540711781385e-05,1.5362806872937032
Agent 9,2.6570556267922795e-05,1.705721108781752
Agent 0,0.0001786331150084667,0.19678541687502446
Agent 1,0.0015791241979672861,0.3172489347903379
Agent 2,0.0005842972979406261,0.5012651944376062
Agent 3,0.0003248942280144516,0.6758963691401322
Agent 4,0.00018866762812214227,0.8825032400763206
Agent 5,0.00012905396927260064,1.0507266529673873
Agent 6,9.17098445972278e-05,1.2194150820049745
Agent 7,6.857620889935982e-05,1.3784526649452578
Agent 8,5.252088719221856e-05,1.5376728240395228
Agent 9,4.0430584934960166e-05,1.7069898108738166
Agent 0,0.0005714175391361713,0.209465852157929
Agent 1,0.0023430208066207033,0.3233641600540982
Agent 2,0.0008525058528879473,0.5050157174272702
Agent 3,0.00046977399097521973,0.6787409986036458
Agent 4,0.0002705024697560586,0.884755560472423
Agent 5,0.00018446016993859733,1.0526641638040903
Agent 6,0.00013069448713230947,1.2211185262748983
Agent 7,9.755732643957871e-05,1.3799835864758843
Agent 8,7.458148242183261e-05,1.5390635401335646
Agent 9,5.7332702512788914e-05,1.7082574629270537
Agent 0,0.0012348657079316425,0.22076829207867302
Agent 1,0.0033116393408921196,0.3292655951856386
Agent 2,0.0011848093682339978,0.5087248639582785
Agent 3,0.0006471443720589214,0.6815692874090225
Agent 4,0.00036959524238654927,0.8870004893119144
Agent 5,0.00025110367767599754,1.054597241949484
Agent 6,0.00017758245247729925,1.2228190964561798
Agent 7,0.00013225400088810884,1.3815125003457238
Agent 8,0.00010094393588429478,1.5404527977035778
Agent 9,7.746153916693447e-05,1.709524041256811
Agent 0,0.0022227141445209297,0.23104877569384963
Agent 1,0.004510788807697341,0.3349344926737316
Agent 2,0.0015875163779225157,0.5123892106419711
Agent 3,0.0008593756366566265,0.6843800790590826
Agent 4,0.0004874311471771962,0.8892375874738443
Agent 5,0.0003298914103541334,1.0565256689990838
Agent 6,0.00023290868057588692,1.224516675448002
Agent 7,0.00017306160526997527,1.383039337105401
Agent 8,0.00013189179294941707,1.541840553762173
